level,question,all_answers,dummy_pool,sentence,translation,exam_info
Fundamental (1-600),follow,～に従う、～に続く,"～を導く, ～を追い越す, ～を避ける",You should follow the rules of the school.,あなたは校則に従うべきだ。,共通テスト
Fundamental (1-600),consider,～を考慮する、～とみなす,"～を無視する, ～を否定する, ～を恐れる",We need to consider every possibility.,あらゆる可能性を考慮する必要がある。,早稲田大
Fundamental (1-600),increase,増える、～を増やす,"～が減る, ～を止める, ～を壊す",The population of the city will increase.,その市の人口は増加するだろう。,立教大
Fundamental (1-600),expect,～を予期する、期待する,"～を拒絶する, ～を忘れる, ～を疑う",I expect that he will win the game.,彼は試合に勝つと予想している。,共通テスト
Fundamental (1-600),decide,～を決める,"～を許す, ～を尋ねる, ～を隠す",She decided to study abroad.,彼女は留学することを決めた。,青山学院大
Fundamental (1-600),develop,～を発達させる、開発する,"～を破壊する, ～を縮小する, ～を維持する",Science has developed rapidly.,科学は急速に発達した。,慶應義塾大
Fundamental (1-600),provide,～を供給する、与える,"～を奪う, ～を捨てる, ～を拒む",They provide us with clean water.,彼らは私たちにきれいな水を供給してくれる。,共通テスト
Fundamental (1-600),continue,～を続ける,"～をやめる, ～を変える, ～を壊す",We decided to continue the meeting.,私たちは会議を続けることにした。,法政大
Fundamental (1-600),include,～を含む,"～を除く, ～を好む, ～を放す",The price includes tax.,価格は税金を含んでいる。,共通テスト
Fundamental (1-600),remain,～のままでいる、残る,"～に変わる, ～を去る, ～を忘れる",The situation remains serious.,状況は深刻なままである。,上智大
Fundamental (1-600),reach,～に到着する、届く,"～を出発する, ～を失う, ～を投げる",The news reached every corner of the world.,そのニュースは世界の隅々まで届いた。,共通テスト
Fundamental (1-600),allow,～を許可する、許す,"～を禁止する, ～を叱る, ～を壊す",Smoking is not allowed here.,ここでの喫煙は許可されていない。,中央大
Fundamental (1-600),force,～を強制する,"～を助ける, ～を勧める, ～を認める",He was forced to sign the contract.,彼は契約書への署名を強制された。,早稲田大
Fundamental (1-600),offer,～を申し出る、提供する,"～を断る, ～を盗む, ～を隠す",He offered to help me with my work.,彼は私の仕事を手伝うと申し出てくれた。,共通テスト
Fundamental (1-600),realize,～を悟る、実現する,"～を無視する, ～を疑う, ～を忘れる",I realized how important health is.,私は健康がいかに重要かを悟った。,同志社大
