question,answer,chapter,explanation
北アフリカのモロッコ内陸部でみられる伝統的な建物の素材には、日干しレンガが主に用いられている。,〇,1 共通テストの過去問,乾燥地域における伝統的な住居では、現地で入手しやすい土（粘土）を固めた日干しレンガが主要な建築資材として使われます。
北アフリカのモロッコ内陸部でみられる伝統的な建物において、窓を小さくする目的の一つは、熱やほこりの侵入を防ぐことである。,〇,1 共通テストの過去問,強い日差し（熱）や砂漠から吹き込む風砂・ほこりの侵入を防ぐため、窓は極めて小さく設計されます。
北アフリカのモロッコなどの乾燥・半乾燥地域にみられるナツメヤシは、伝統的にオアシスで栽培されている。,〇,1 共通テストの過去問,ナツメヤシは乾燥に強く、地下水や灌漑用水が得られるオアシス農業において最も重要な作物（主食や日よけ）として栽培されています。
北アフリカのモロッコなどで収穫されたナツメヤシの実は、大部分が工業用として輸出されている。,×,1 共通テストの過去問,ナツメヤシの実は、現地の人々や家畜の貴重な食料（食用）として消費される割合が非常に高く、大部分が工業用として輸出されているわけではありません。
十三湖などの汽水湖は、淡水と海水が混ざり合っている。,〇,1 共通テストの過去問,汽水湖とは、河川から流れ込む「淡水」と、海から流入する「海水」が混ざり合って塩分濃度が変化する湖のことです。
十三湖のシジミ漁では、漁獲を持続的に行えるようにするため、漁具（ジョレン）の網の目を規定の幅以上とすることで、小さい個体の漁獲を抑制している。,〇,1 共通テストの過去問,資源保護（持続可能性）の観点から、未成熟な小さいシジミを獲り尽くさないよう、網の目を大きくして逃がす取り組みが行われています。
十三湖のシジミは、低価格での販売を目的に、「十三湖産大和しじみ」として地理的表示保護制度（GI）に登録され差別化が図られている。,×,1 共通テストの過去問,地理的表示保護制度（GI）は、地域のブランドや高い品質を守ることで「高付加価値化（ブランド化）」や適正な価格での取引・差別化を目指すものであり、「低価格での販売」が目的ではありません。
大気中の二酸化炭素濃度は、経年変化をみると、いずれの観測地点においても季節変動を示しながらも増加傾向を示している。,〇,1 共通テストの過去問,化石燃料の消費などにより世界的に増加傾向にあります。また、植物の光合成活動による呼吸量の変化から、大気中の二酸化炭素濃度は1年を通じて周期的な「季節変動」を示します。
大気中の二酸化炭素濃度にみられる緯度帯ごとの季節変動は、主に陸域の植物の活動（光合成と呼吸）による。,〇,1 共通テストの過去問,北半球を中心に、夏期は植物の光合成が活発になり二酸化炭素が吸収され濃度が低下し、冬期は光合成が衰えて濃度が上昇するという「植物の活動」が季節変動の主因です。
本州における火山の大規模噴火では、上空の偏西風の影響などにより、火山灰は火口から東側に降ることが多い。,〇,1 共通テストの過去問,日本の上空（中緯度帯）には年間を通じて西から東へと吹く「偏西風」が存在するため、噴き上げられた火山灰は火口から東側（偏西風の下流側）に広く降下しやすくなります。
国際河川であるドナウ川の途中（中流）に設置された水力発電所によって、河口にある湿地への影響が危惧されている。,〇,1 共通テストの過去問,ダムの建設や水力発電所の運用は、下流への水量調整や堆積土砂の減少を引き起こすため、河口デルタにある貴重な湿地帯の生態系への悪影響が危惧されています。
国際河川であるメコン川では、近年、上流での灌漑や水力発電における用水の需要が高まっており、下流の農業に制約が生じている。,〇,1 共通テストの過去問,中国などの上流国においてダム建設や開発が進んだ結果、下流国（カンボジアやベトナムのメコンデルタなど）への流入流量が減少し、塩害の発生や乾季の農業用水不足といった制約が生まれています。
国際河川であるナイル川では、上流の国における水資源活用（ダム建設など）が、下流の国における水供給量の減少につながることにより対立が生じた。,〇,1 共通テストの過去問,ナイル川上流のエチオピアによる巨大ダム建設などが、下流の乾燥地域に位置するエジプトやスーダンの水不足を招くとして、激しい外交的対立（水資源紛争）が生じています。
冷涼な気候の地域（例：ウクライナやロシア南部周辺）では、降水量の季節変化が少なく、肥沃な土壌（チェルノーゼムなど）をいかして小麦などが栽培されている。,〇,1 共通テストの過去問,冷涼で降水量の季節変化が少なく、肥沃な黒土（チェルノーゼム）が広がる地域では、大規模な小麦栽培が行われています。
オアシス農業が盛んな乾燥地域では、1年中乾燥する気候であり、オアシスや灌漑施設を利用してアブラヤシなどが栽培されている。,×,1 共通テストの過去問,アブラヤシは熱帯雨林気候（多雨地域）で栽培されるプランテーション作物です。オアシスや灌漑を利用して栽培される代表例は「ナツメヤシ（デーツ）」です。
アフリカや東南アジアの熱帯（サバナ気候など）では、雨季と乾季が明瞭な高温の気候であり、焼畑によりキャッサバなどが栽培されている。,〇,1 共通テストの過去問,熱帯地域、特にサバナ気候区では、雨季と乾季の明瞭な気候のもとで焼畑農業が行われ、主食となるキャッサバやタロいも、ヤムいもなどが栽培されています。
地中海性気候の地域（例：アフリカ南端のケープタウン周辺）では、冬より夏の降水量が多い温暖な気候であり、ブドウなどが栽培されている。,×,1 共通テストの過去問,地中海性気候は「夏に乾燥（少雨）し、冬に湿潤（多雨）」となるのが特徴です。ブドウの栽培は盛んですが、降水量の季節変化の説明が逆です。
ヨーロッパにおけるイモ類の食品ロスにおいて、生産・収穫段階でのロスが多い要因の一つには、小売業者の定める品質基準に満たない生産物が廃棄されることがある。,〇,1 共通テストの過去問,先進国（ヨーロッパなど）では、市場や小売業者が求める厳しい外観・品質基準に達しない規格外の作物が、収穫段階で廃棄される傾向があります。
