question,option,answer,university,explanation,field
I wish I (      ) fly high in the sky.,can/could/should/will be able to,could,日本大,I wishに続く節内では、現在の実現不可能な願望を表すために仮定法過去（過去形）を用いる。,４択問題
We won't go to Mt. Fuji if it (      ) this weekend.,will rain/won't rain/rained/rains,rains,芝浦工業大,「もし今週末雨が降れば」という条件を表す副詞節の中では、未来のことでも現在時制（rains）を用いる。実際に起こりうることなので仮定法ではなく直説法で表す。,４択問題
"If Mary (      ) here, she could help us do the homework.",is/were/be/had been,were,九州共立大,帰結節にcould help（助動詞の過去形＋動詞の原形）があるため仮定法過去。If節のbe動詞はwereを用いる。,４択問題
"If you were president, what (      ) you do to advance the interest of science?",did/may/will/would,would,東京薬科大,If節がwere（過去形）なので仮定法過去の文。帰結節の疑問文では〈助動詞の過去形（would）＋主語＋動詞の原形〉の形にする。,４択問題
"If I (      ) been given a few more minutes, I would have completed the task.",have/was/had/would,had,東海大,帰結節がwould have completed（助動詞の過去形＋have＋過去分詞）なので仮定法過去完了。If節は〈had + 過去分詞〉にする。,４択問題
What would you buy if you (      ) a lot of money by winning the lottery?,would have/have/had/had been,had,二松學舍大,主節がWhat would you buyと仮定法過去の形になっているため、if節の中も動詞の過去形（had）を用いる。,４択問題
"If you were to go down that road, it (      ) impossible to turn back.",has been/will be/would have been/would be,would be,明治大,"〈If + 主語 + were to ..., 主語 + 助動詞の過去形 + 原形〉で、純粋な仮定や未来の強い仮定を表す。",４択問題
"If you (      ) me, I would have helped you with your homework.",had asked/have asked/should ask/would ask,had asked,青山学院大,帰結節がwould have helped（仮定法過去完了）なので、If節の中も過去の事実に反する仮定を表す〈had + 過去分詞〉にする。,４択問題
"If it (      ) for smartphones, our lives would be terribly inconvenient.",had not been/had been/were not/were,were not,拓殖大,帰結節がwould be（現在の話）なので仮定法過去。「もし〜がなければ」は〈If it were not for ~〉の定型表現を用いる。,４択問題
"If it (      ) not been for that error, she could have passed the examination.",shall/has/were/had,had,国士舘大,帰結節がcould have passed（過去の話）なので仮定法過去完了。「もし〜がなかったら」は〈If it had not been for ~〉を用いる。,４択問題
"I know you are angry with Chris. (      ) I you, I would break up with him.",If/When/Were/Had,Were,駒澤大,If I were youのIfが省略され、主語とbe動詞がひっくり返った（倒置）形。Were I youで「もし私があなたなら」となる。,４択問題
He has (      ) kendo since junior high school.,play/practiced/playing/practicing,practiced,追手門学院大,since（〜以来）があるため現在完了形にする。kendo（剣道）などの武道や格闘技にはplayではなくpractice（練習する）を用いる。,４択問題
She couldn’t decide (      ) or not to go.,which/when/whether/why,whether,追手門学院大,〈whether or not ~〉で「〜かどうか」という名詞節をつくる。decideの目的語として「行くべきか行かないべきか決められなかった」という意味になる。,４択問題
There are (      ) boys in the class than girls.,few/less/fewer/lesser,fewer,追手門学院大,thanがあるため比較級にする。可算名詞の複数形（boys）を修飾し、「（女の子より）少ない男の子」を表すため、fewの比較級であるfewerが正解。,４択問題
What’s 12 multiplied (      ) 8?,by/at/in/on,by,追手門学院大,「AにBを掛ける」は〈multiply A by B〉と表現する。受動態の形容詞的用法（過去分詞）として「8によって掛けられた12」となる。,４択問題
He heard his name (      ) by someone.,call/called/calling/to call,called,追手門学院大,知覚動詞hear＋目的語（his name）の後ろに続く形。名前は「呼ばれる」という受動の関係なので、過去分詞のcalledが正解。,４択問題
She asked if she could be of (      ) help.,any/even/many/every,any,追手門学院大,〈be of help〉で「役に立つ（= helpful）」。if節（〜かどうか）という条件・不確実な文脈の中なので、someではなくanyを用いる。,４択問題
"By that time, we (      ) had more than enough.",have to/to have/had/having,had,追手門学院大,By that time（その時までに）という過去の時点を基準に、それ以前からの状態を表すため、過去完了形〈had + 過去分詞〉にする。前半のhadは助動詞、後半のhadは一般動詞の過去分詞。,４択問題
"At around 10:00, (      ) were you with last night?",where/when/why/who,who,追手門学院大,文末の文法要素（前置詞withの目的語）が欠落しているため、人を尋ねる疑問代名詞のwho（口語ではwhomの代わり）が正解。,４択問題
Let’s try as (      ) as we can.,possible/much/ever/each,much,追手門学院大,〈as + 副詞の原級 + as one can〉で「できるだけ〜」。動詞try（やってみる、努力する）を修飾して「できるだけ（たくさん）やってみよう」となる。,４択問題
She always does her homework (      ) watching television.,with/whereas/which/while,while,追手門学院大,〈while + Ving〉で「〜している間に」という接続詞を用いた表現（while she is watching... の主語+be動詞の省略）。「テレビを見ながら宿題をする」となる。,４択問題
It was difficult for Beth to (      ) a living as a painter.,do/earn/serve/receive,earn,畿央大,〈earn a living〉で「生計を立てる」という重要熟語。painter（画家）として生計を立てるのは難しかった、という意味になる。,４択問題
