植物は細胞からできているという「植物細胞説」を、1838年に提唱した人物は（ ）である。,シュライデン,１ 生物の共通性と多様性,翌年に動物細胞説を提唱したシュワンと共に、近代細胞学の基礎を築きました。
同じ形とはたらきをもつ細胞が多数集まったものを（ ）という。,組織,１ 生物の共通性と多様性,組織が集まって「器官」、器官が集まって「個体」となる階層的な構造を持っています。
酸素を用いて呼吸を行い、生命活動に必要なエネルギー（ATP）を取り出す細胞小器官は（ ）である。,ミトコンドリア,１ 生物の共通性と多様性,二重膜構造を持ち、独自のDNAを保持しています（共生説の根拠）。
光エネルギーを吸収して光合成を行い、有機物を合成する細胞小器官は（ ）である。,葉緑体,１ 生物の共通性と多様性,植物細胞のみに見られ、ミトコンドリアと同様に二重膜と独自のDNAを持ちます。
遺伝情報の保持と伝達を担い、内部に染色体や核小体を含む細胞小器官は（ ）である。,核,１ 生物の共通性と多様性,核膜には核膜孔があり、物質の出入りを制御する「管理センター」です。
タンパク質の合成の場となる、小さな粒状の構造体は（ ）である。,リボソーム,１ 生物の共通性と多様性,核のDNAから転写されたmRNAの情報をもとに、アミノ酸をつなぎ合わせます。
細胞内で合成された物質の輸送や、細胞外への分泌に関わる細胞小器官は（ ）である。,ゴルジ体,１ 生物の共通性と多様性,扁平な袋が重なった構造で、物質の「梱包・発送」を担う物流センターです。
動物は細胞からできているという「動物細胞説」を、1839年に提唱した人物は（ ）である。,シュワン,１ 生物の共通性と多様性,シュライデンの翌年に発表し、「生物の基本単位は細胞である」という概念を確立しました。
動物細胞の外側を包む、物質の出入りを調節する膜を（ ）という。,細胞膜,１ 生物の共通性と多様性,リン脂質の二重層にタンパク質が埋まった「流動モザイクモデル」という構造をしています。
動物細胞の細胞分裂時に現れ、紡錘糸の形成に関与する構造体は（ ）である。,中心体,１ 生物の共通性と多様性,主に動物細胞（および一部の低級植物）に見られ、細胞分裂の「極」となります。
植物細胞にはあるが、動物細胞には存在しない、細胞を保護し形を保つ構造は（ ）である。,細胞壁,１ 生物の共通性と多様性,動物は骨格や筋肉で形を保ちますが、植物は細胞一つ一つの「箱」で強度を出します。
体の表面や内臓の壁を覆い、保護や吸収、分泌を行う組織を（ ）という。,上皮組織,１ 生物の共通性と多様性,皮膚の表皮や、胃・小腸の内壁などがこれにあたります。
刺激を伝え、情報の処理や命令の伝達を行う、ニューロンからなる組織を（ ）という。,神経組織,１ 生物の共通性と多様性,電気信号（アクションポテンシャル）を用いて高速な通信を行います。
収縮することで運動や内臓の動きを引き起こす組織を（ ）という。,筋組織,１ 生物の共通性と多様性,骨格筋（随意的）、心筋・平滑筋（不随意的）の3種類があります。
組織や器官の間を埋め、結合・支持する組織（血液、骨、軟骨など）を（ ）という。,結合組織（支持組織）,１ 生物の共通性と多様性,細胞外マトリックス（コラーゲンなど）が豊富で、物理的強度を与えます。
顕微鏡などで、2つの点として見分けられる最小の距離のことを何というか。,分解能,１ 生物の共通性と多様性,2点を分離して認識できる限界。この値が小さいほど高性能と言えます。
