question,option A,option B,option C,option D,answer,explanation
文章中の『まなざしの枠組はキハンや様式といった』における「キハン」の「キ」と同じ漢字を含むものを選べ。,キカクの製品を販売する。,キセンを制して有利に立つ。,キリツを守って行動する。,キトクな志に感銘を受ける。,C,正解はC（規律）。A:規格、B:機先、D:奇特。
文章中の『観光者は「演出」にアきたらずその「舞台裏」を見たがる』における「アきたらず」の「ア」と同じ漢字を含むものを選べ。,食料のホウショクが問題となる。,ホウフな知識を持っている。,ホウコウを定めて進む。,ホウカイの危険が迫る。,A,正解はA（飽食）。B:豊富、C:方向、D:崩壊。
文章中の『ブーアスティンの嘆きをジダイサクゴと笑うことはたやすい』における「ジダイサクゴ」の「サク」と同じ漢字を含むものを選べ。,サクセンを立てて試合に臨む。,サクソウした事態を収拾する。,サクゲンの目標を達成する。,サクジョの処理を行う。,B,正解はB（錯綜）。A:作戦、C:削減、D:削除。
文章中の『大小の家々がカタを寄せ合う路地奥にあった』における「カタ」と同じ漢字を含むものを選べ。,ケンキャクを誇る,徒手クウケンで海外に行く,ケンジツな商売を始める,英語力で彼にヒケンする者はいない,D,正解はD（比肩）。本文のカタは「肩」。A:健脚、B:空拳、C:堅実。
文章中の『陽をスかしてざわめく葉のきらめき』における「スかして」の「ス」と同じ漢字を含むものを選べ。,美しい音楽にトウスイする,犯人のトウボウを防ぐ,アイトウの意を表する,民主主義がシントウする,D,正解はD（浸透）。本文のスは「透かす」。A:陶酔、B:逃亡、C:哀悼。
文章中の『他トリョウのはげたガードレールや』における「トリョウ」の「ト」と同じ漢字を含むものを選べ。,薬を傷口にトフする,胸のうちをトロする,ゼント有望な若者,南蛮トライの品,A,正解はA（塗布）。本文のトは「塗料」。B:吐露、C:前途、D:渡来。
文章中の『生のコンカンに関わるものとしてある』における「コンカン」の「カン」と同じ漢字を含むものを選べ。,カンデンチを購入する,キカン産業に投資する,カンヨウクを覚える,山をカンツウするトンネル,B,正解はB（基幹）。本文のカンは「根幹」。A:乾電池、C:慣用句、D:貫通。
文章中の『価値シャクドや概念的枠組が他者と共有されている』における「シャクド」の「シャク」と同じ漢字を含むものを選べ。,無断でシャクヨウする,五万分の一のシュクシャク,シャクメイを求められる,方角をジシャクで調べる,B,正解はB（縮尺）。本文のシャクは「尺度」。A:借用、C:釈明、D:磁石。
文章中の『レビュー欄にケイサイされているこの演奏の』における「ケイサイ」の「ケイ」と同じ漢字を含むものを選べ。,名著にケイハツされる,連絡事項をケイシュツする,方針転換のケイキになる,一族のケイズを作る,B,正解はB（掲出）。本文のケイは「掲載」。A:啓発、C:契機、D:系図。
文章中の『CDプレイヤーのプログラミング機能がカツヤクする』における「カツヤク」の「ヤク」と同じ漢字を含むものを選べ。,神仏のごリヤクにすがる,あの人はケンヤク家だ,面目ヤクジョの働きをする,重要なヤクショクに就く,D,正解はD（役職）。本文のヤクは「活躍」。A:利益（ご利益）、B:倹約、C:躍如。
