question,answer,chapter,explanation
現生のヒト（ホモ・サピエンス）の直接の祖先は、アフリカ大陸で誕生した。,〇,1 共通テストの過去問,現生のヒト（ホモ・サピエンス）の直接の祖先は、アフリカ大陸で誕生したと考えられている。
ヒトの進化において、ゴリラからチンパンジーへ、チンパンジーからヒトへと段階的に進化した。,×,1 共通テストの過去問,ヒトとチンパンジー、ゴリラは共通の祖先からそれぞれ分岐して進化したものであり、特定の現生類人猿から別の現生類人猿へと進化したわけではない。
ネアンデルタール人よりも前に出現した人類も、ユーラシア大陸に進出した。,〇,1 共通テストの過去問,ネアンデルタール人より前に出現したホモ・エレクトス（原人）なども、アフリカを出てユーラシア大陸に進出していた。
ホモ属（ヒト属）の誕生とともに、直立二足歩行が始まった。,×,1 共通テストの過去問,直立二足歩行はホモ属（ヒト属）の誕生よりも古く、初期の猿人（サヘラントロプスなど）の段階から始まっていた。
ホモ属（ヒト属）の進化の過程で、脳容積は変化していない。,×,1 共通テストの過去問,ホモ属の進化にともない、脳容積は著しく増大する傾向を示した。
アクチンフィラメントは、アクチンというタンパク質が連結して形成される、管状の構造である。,×,1 共通テストの過去問,アクチンフィラメントは2本の繊維がらせん状に絡み合った構造をしており、管状の構造を持つのは微小管である。
筋原繊維の中では、ミオシン頭部がATPを分解し、アクチンフィラメントを移動させて筋収縮が起こる。,〇,1 共通テストの過去問,筋収縮は、ミオシン頭部がATPのエネルギーを用いてアクチンフィラメントをスライドさせる（滑り込ませる）ことで起こる。
サルコメアの末端にあるZ膜付近は、サルコメア中央部と比べてアクチンフィラメントの数が少ないため、顕微鏡で観察すると明るく見える。,×,1 共通テストの過去問,Z膜付近（明帯）はアクチンフィラメントのみが存在し、太いミオシンフィラメントが存在しないために明るく見える。
トロポニンにカルシウムイオンが結合すると、ミオシンがアクチンフィラメントと結合できなくなり、筋収縮が起こらない。,×,1 共通テストの過去問,カルシウムイオンがトロポニンに結合すると、構造変化によってミオシンとアクチンフィラメントが結合できるようになり、筋収縮が引き起こされる。
アメフラシは水管に触れられると、えらをすばやく引っ込める。,〇,1 共通テストの過去問,これはアメフラシの「えら引き込み反射」と呼ばれる、防御的な反射行動である。
