question,answer,chapter,explanation
物質を構成する基本成分を（ ）という。,元素,１ 元素・単体・化合物,元素は物質を構成する「成分の名称」を指す概念です。
ダイヤモンドや黒鉛は、いずれも（ ）という元素からなる単体である。,炭素,１ 元素・単体・化合物,いずれも同じ炭素原子(C)からなる同素体です。
酸素とオゾンは、いずれも（ ）という元素からなる同素体である。,酸素,１ 元素・単体・化合物,化学式は酸素がO₂、オゾンがO₃です。
同じ元素からなる単体で、性質の異なる物質どうしを（ ）という。,同素体,１ 元素・単体・化合物,"スコップ(S, C, O, P)の4元素に存在します。"
1種類の元素からなる純物質を（ ）という。,単体,１ 元素・単体・化合物,水素(H₂)や銅(Cu)のように1種類のみ。
2種類以上の元素からなる純物質を（ ）という。,化合物,１ 元素・単体・化合物,塩化水素(HCl)のように複数の元素が結合。
液体を沸騰させ、生じた蒸気を冷やして再び液体として分離する操作を（ ）という。,蒸留,１ 元素・単体・化合物,枝付きフラスコの温度計の位置（横管の付け根）も重要です。
試料を炎の中に入れると、含まれる元素特有の色を出す反応を（ ）反応という。,炎色,１ 元素・単体・化合物,金属元素の種類を見分けるのに使われます。
同じ元素からできた単体で、化学的性質が異なる物質どうしを（ ）という。,同素体,２ 同素体,"覚え方は「スコップ(S, C, O, P)」。これら4元素に同素体が存在します。"
硫黄の同素体で、針状結晶をもち、119℃以上で安定なものは（ ）硫黄である。,単斜,２ 同素体,斜方硫黄（塊状）、単斜硫黄（針状）、ゴム状硫黄の3つがあります。
硫黄の同素体で、二硫化炭素に溶けず、弾力性があるものは（ ）硫黄である。,ゴム状,２ 同素体,液体硫黄を急冷して作ります。斜方と単斜は二硫化炭素に溶けます。
炭素の同素体で、極めて硬く、電気を通さないものは（ ）である。,ダイヤモンド,２ 同素体,正四面体構造が三次元的に連なり、非常に強固に結合しています。
炭素の同素体で、軟らかく、電気を通すものは（ ）である。,黒鉛/グラファイト,２ 同素体,層状構造をしており、層の間を電子が移動できるため電気を通します。
酸素の同素体で、特有の刺激臭をもち、淡青色の気体は（ ）である。,オゾン,２ 同素体,化学式はO₃。強い酸化作用を持ち、ヨウ化カリウムデンプン紙を青変させます。
リンの同素体で、空気中で自然発火するため水中に保存するものは（ ）である。,黄リン,２ 同素体,毒性が強く、暗所で発光します。一方、赤リンは安定でマッチの側薬に使われます。
フラーレンやカーボンナノチューブは、（ ）という元素の同素体である。,炭素,２ 同素体,比較的新しく発見された同素体で、ナノテクノロジー分野で注目されています。
常温・常圧で最も安定な硫黄の同素体は（ ）硫黄である。,斜方,２ 同素体,黄色い塊状の結晶。単斜やゴム状を放置すると、最終的にこれに戻ります。
斜方硫黄と単斜硫黄の分子式は、いずれも（ ）と表される。,S₈,２ 同素体,8個の原子が環状に並んだ構造をしています。ゴム状硫黄は長い鎖状(Sx)です。
オゾンをヨウ化カリウムデンプン紙に触れさせると、（ ）色に変化する。,青/青紫,２ 同素体,オゾンの強い酸化力によりヨウ化物イオンがヨウ素になり、デンプンと反応します。
黄リンと赤リンのうち、毒性がほとんどなく、マッチの側薬に用いられるのは（ ）である。,赤リン,２ 同素体,赤リンは安定していますが、黄リンは猛毒で非常に反応性が高いです。
炭素原子が60個結合した、サッカーボール状の構造を持つ同素体は（ ）である。,フラーレン/C₆₀,２ 同素体,黒鉛に強い光（アーク放電）を当てるなどして作られます。
炭素の同素体において、炭素原子が網目状に重なり、薄く剥がれやすい性質を持つのは（ ）である。,黒鉛/グラファイト,２ 同素体,層内の結合は強いですが、層の間（分子間力）は弱いため剥がれやすいです。
黒鉛の層を1枚だけ取り出した、平面状の構造を持つ物質を（ ）という。,グラフェン,２ 同素体,厚さは原子1個分で、導電性や強度が非常に高く次世代材料として期待されています。
酸素の同素体であるオゾンは、酸素中で（ ）を行うことで生成される。,無声放電,２ 同素体,または酸素に強い紫外線を当てることでも生成されます。
黄リンを保存する際、空気中での自然発火を防ぐために用いる液体は何ですか。,水,２ 同素体,黄リンは発火点が約40℃と低く空気中で発火しますが、水とは反応せず密度が大きいため水底に沈めて保存します。
ヨウ素と砂の混合物から、ヨウ素だけを取り出すのに最も適した分離法は何ですか。,昇華/昇華法,２ 同素体,ヨウ素は加熱すると固体から直接気体になり、冷却することで再び固体として回収できる性質を利用します。
