question,answer,chapter,explanation
地球1周の長さは約（ ）kmである。,40000/4万,１ 地図と地理情報システム,18世紀末、北極点から赤道までの距離の1000万分の1を「1m」と定義したため、4倍した4万kmが地球1周の基準となっています。
地球の形状は、自転による遠心力の影響で赤道付近が膨らんだ（ ）と呼ばれる回転楕円体に近い。,地球楕円体,１ 地図と地理情報システム,極半径よりも赤道半径の方が約21km長くなっています。共通テストでは「完全な球ではない」点が問われることがあります。
本初子午線（経度0度）が通る、イギリスのロンドン郊外にある旧天文台の名前は何か。,旧グリニッジ天文台,１ 地図と地理情報システム,1884年の国際会議で決定されました。これに基づき、世界各地の標準時（UTC）が定められています。
日本の標準時子午線は、東経（ ）度である。,135,１ 地図と地理情報システム,兵庫県明石市を通ります。世界標準時（GMT/UTC）との時差は＋9時間（135÷15）となります。
緯度1度あたりの距離は、地球上のどこでも約（ ）kmである。,111,１ 地図と地理情報システム,地球1周4万kmを360度で割ると、40000÷360＝約111kmと算出できます。距離計算の基礎知識です。
正距方位図法において、中心の反対側に位置する地点（対蹠点）は、図ではどこに表現されるか。,周囲の円（外周）,１ 地図と地理情報システム,中心からの距離と方位が正しいため、最も遠い地点である対蹠点は、図の最外周の円全体に広がって表現されます。
2つの地点を最短距離で結んだ航路を（ ）という。,大圏航路,１ 地図と地理情報システム,地球上の大円（球の中心を通る円）の一部です。正距方位図法では中心からの直線、メルカトル図法では曲線で描かれます。
位置情報（GPS）や統計データなどを重ね合わせ、分析・加工して表示するシステムを何というか。,GIS/地理情報システム,１ 地図と地理情報システム,現代地理の必須項目です。ハザードマップの作成や、コンビニの出店戦略、カーナビなどに広く応用されています。
面積が正しい地図の図法は（　）図法である。,正積,１ 地図と地理情報システム,サンソン図法、モルワイデ図法、ボンヌ図法などが含まれます。分布図（人口密度や生産量）を作成する際に必須の性質です。
メルカトル図法で緯度が高くなるほど面積が拡大されるのは、経線と（ ）が直交し、かつその間隔を調整しているからである。,緯線,１ 地図と地理情報システム,角度を正しく保つ（正角性）ために、経線の長さに合わせて緯線の間隔を緯度に応じて引き伸ばしています。そのため高緯度ほど面積が歪みます。
正積図法のうち、低緯度側の歪みが小さいサンソン図法と、高緯度側の歪みが小さいモルワイデ図法を接合した図法を（　）図法という。,グード/ホモロサイン図法,１ 地図と地理情報システム,緯度40度44分で両図法を接合しています。海洋部を断裂させることで、陸地の形状の歪みをさらに抑えています。
正距方位図法において、中心から北へ直線を引き、次に東へ直線を描いたとき、その2直線がなす角は常に（ ）度である。,90,１ 地図と地理情報システム,中心からの「方位」が正しいため、中心を通る経線（南北）と、それに対する方位角は地図上で正確に表現されます。
地球上の対蹠点（真裏）を求める際、北緯35度・東経135度の地点の真裏は、南緯35度・西経（ ）度である。,45,１ 地図と地理情報システム,緯度は南北を入れ替えるだけですが、経度は「180－元の経度」で計算し、東西を入れ替えます（180－135＝45）。
経度差が15度ある2地点間には、何時間の時差が生じるか。,1時間,１ 地図と地理情報システム,地球は360度を24時間で自転するため、360÷24＝15度につき1時間の時差が発生します。
日付変更線を東から西へ（アメリカ側から日本側へ）越えるとき、日付はどう調整するか。,1日進める,１ 地図と地理情報システム,日本の方がアメリカよりも早く新しい一日を迎えるため、西向きに越える際は日付を1日進めます（例：日曜→月曜）。
"1:25,000の地形図上で4cmの長さは、実際の距離では何kmか。",1km,１ 地図と地理情報システム,"25,000 × 4cm = 100,000cm。100,000cm = 1,000m = 1kmとなります。共通テストでの計算ミスに注意が必要です。"
一般的な情報を網羅した地図を（　）図という。,一般,１ 地図と地理情報システム,
地球の自転軸（地軸）は、公転面に対して約（ ）度傾いている。,23.4/23.4度,１ 地図と地理情報システム,この傾きにより、季節による太陽の南中高度の変化や昼夜の長さの変化（季節）が生じます。
メルカトル図法において、北極や南極はどのように表現されるか。,表現できない/不可能,１ 地図と地理情報システム,高緯度ほど拡大され、極点（緯度90度）では拡大率が無限大になるため、図の上に描くことができません。
日本から見て、地球のちょうど真裏（対蹠点）に位置する大陸はどこか。,南アメリカ大陸/南米,１ 地図と地理情報システム,ブラジルやアルゼンチンの沖合付近が日本の対蹠点にあたります。
地形図の読図において、高い地点を結んだ「尾根」と、低い地点を結んだ「谷」のうち、等高線が山頂側に食い込んで描かれるのは？,谷/谷線,１ 地図と地理情報システム,等高線が標高の高い方（山頂側）へV字型に食い込んでいる場所が「谷」であり、河川が流れていることが多いです。
統計地図のうち、絶対数を「点」の数や密度で表現した地図を何というか。,ドットマップ,１ 地図と地理情報システム,1つの点が「100人」や「500トン」などを表し、分布の疎密を直感的に把握するのに適しています。
統計地図のうち、流動（交通量や貿易量）の向きや量を矢印の太さなどで表現した地図を何というか。,流線図,１ 地図と地理情報システム,物資、人間、情報などの移動を視覚化するのに用いられます。
緯度と経度を利用して、地球上の絶対的な位置を示す座標系を（ ）という。,地理座標系,１ 地図と地理情報システム,測地系（日本測地系や世界測地系）に基づいて定義されます。現在は世界測地系が一般的です。
2.5万分の1地形図と5万分の1地形図のうち、より狭い範囲を詳しく描いている「大縮尺」な地図はどっち？,2.5万分の1地形図/2.5万分の1,１ 地図と地理情報システム,分母が小さいほど「大縮尺」であり、情報量が多く詳しくなります。
実測図である2.5万分の1地形図に対し、それを編集して作った5万分の1地形図などを何というか。,編集図,１ 地図と地理情報システム,2.5万分の1地形図などの大縮尺地図を基に、情報を整理・省略して作られた地図のことです。
地形図で、標高の基準となる東京湾の平均海面を0mとしたとき、測量によって高さを求めた地点を何というか。,水準点,１ 地図と地理情報システム,国道沿いなどに設置されており、記号は「□」の中に「・」が描かれます。
地形図において、尾根（山から張り出している部分）では等高線は標高が（ ）方へ凸に描かれる。,低い,１ 地図と地理情報システム,高い方から低い方へ突き出すように描かれます。逆に谷では高い方へ向かって等高線が入り込みます。
統計地図のうち、人口密度や普及率など、面積あたりの相対値を色分けで表現した地図を何というか。,階級区分図（コーロプレスマップ）,１ 地図と地理情報システム,面積の大小に視覚が左右されるため、絶対数（人口数そのものなど）を表示するのには向きません。
統計地図のうち、絶対数（生産量や人口など）を円の大きさなどで地点ごとに表現した地図を何というか。,図形表現図,１ 地図と地理情報システム,データの絶対量を視覚的に比較するのに適しています。
