question,answer,chapter,explanation
固体の溶解度は、溶液の温度が高くなるほど大きくなるものが多い。,〇,1 共通テストの過去問,多くの個体の溶解度は、温度が上がるにつれて大きくなります。
水和水(結晶水)をもつ物質の水への溶解度は、水100gに溶ける無水物(無水塩)の質量(g)の最大値で表す。,〇,1 共通テストの過去問,水和物であっても、溶解度は一般に無水物の質量に換算して表されます。
飽和溶液中に溶質の固体が共存するとき、溶質の固体を構成しているイオンや分子が固体を離れて溶液中に移動することはない。,×,1 共通テストの過去問,飽和状態（溶解平衡）では、固体から溶液への溶解反応と、溶液から固体への析出反応が同じ速度で同時に起こっています（動的平衡状態）。
温度による物質の溶解度の違いを利用し、固体を析出させることで、物質を精製する方法を再結晶という。,〇,1 共通テストの過去問,温度による溶解度の差を利用して不純物を除き、結晶を析出させて精製する方法を再結晶と呼びます。
一定圧力下において、化学反応に伴って放出あるいは吸収する熱量を反応エンタルピーという。,〇,1 共通テストの過去問,一定圧力下における熱の出入りは、反応エンタルピーの変化に等しくなります。
反応エンタルピーは、生成物がもつエンタルピーから反応物がもつエンタルピーを引いたものである。,〇,1 共通テストの過去問,反応エンタルピー $\Delta H$ は、$H_{\text{生成物}} - H_{\text{反応物}}$ で定義されます。
溶質が溶媒に溶解するときに発熱した場合は、溶解エンタルピーは正の値である。,×,1 共通テストの過去問,発熱反応の場合、系のエンタルピーは減少するため、エンタルピー変化（溶解エンタルピー）は負の値（マイナス）になります。
一酸化炭素COの生成エンタルピーは、黒鉛CとCOの燃焼エンタルピーから求めることができます。,〇,1 共通テストの過去問,ヘスの法則により、黒鉛の燃焼エンタルピーとCOの燃焼エンタルピーの差から、COの生成エンタルピーを算出できます。
水素原子の酸化数は、いかなる化合物においても水 $H_2O$ 中の水素原子と同じである。,×,1 共通テストの過去問,水 $H_2O$ 中の水素の酸化数は +1 ですが、水素化ナトリウム $NaH$ などの金属水素化物における水素原子の酸化数は -1 になります。
リンは、生体内の核酸に含まれている。,〇,1 共通テストの過去問,核酸（DNAやRNA）はリン酸エステル結合を含んでおり、リン（P）は生体内の重要な構成元素です。
赤リンは、空気中で自然発火するので、水中に保管する。,×,1 共通テストの過去問,空気中で自然発火するため水中に保管するのは「黄リン」です。赤リンは比較的安定であり、常温の空気中で自然発火しません。
黄リンや赤リンは、乾燥空気中で燃焼させると、十酸化四リンを生じる。,〇,1 共通テストの過去問,どちらの同素体も、燃焼すると十酸化四リン $P_4O_{10}$ の白い煙（固体分子）を生じます。
十酸化四リンは、吸湿性が強く、乾燥剤として利用されている。,〇,1 共通テストの過去問,十酸化四リンは水と強く反応してリン酸になるため、強力な酸性乾燥剤として用いられます。
リン酸は、3価の酸である。,〇,1 共通テストの過去問,リン酸 $H_3PO_4$ は、水溶液中で3段階に電離する3価の弱酸です。
周期表で典型元素以外が遷移元素である。,〇,1 共通テストの過去問,周期表において、3族から11族（または12族までを含める場合もある）の元素を遷移元素と呼び、それ以外の元素を典型元素と分類します。
遷移元素は、周期表で第4周期からはじめて現れる。,〇,1 共通テストの過去問,遷移元素は第4周期（スカンジウム $^{21}\text{Sc}$ 以降）から配置されます。
第6周期までの遷移元素は、すべて金属元素である。,〇,1 共通テストの過去問,遷移元素はすべて金属元素としての性質を示します。
