question,answer,chapter,explanation
関数 $y = \frac{3x-1}{x-1}$ のグラフの漸近線を求めよ。,"$x=1, y=3$",1 関数,分子を分母で割り、$y = \frac{2}{x-1} + 3$ の形に変形する。分母を0にする $x$ と、定数項の $y$ が漸近線。
不等式 $\frac{x+3}{x+1} > 2$ を解け。,$-1 < x < 1$,1 関数,両辺に分母の2乗 $(x+1)^2$ を掛けて分母を払うか、左辺から右辺を引いて1つの分数にまとめ、符号（(分子)×(分母)>0）を調べる。
関数 $y = \frac{x+2}{x-1}$ の逆関数を求めよ。,$y = \frac{x+2}{x-1}$,1 関数,$y(x-1) = x+2$ より $x$ について解き、$x = \frac{y+2}{y-1}$ とする。最後に $x$ と $y$ を入れ替える。
関数 $f(x) = \frac{x+1}{x-1}$ において、$f(f(x))$ を計算せよ。,$x$,1 関数,合成関数の計算。$f(x)$ の式の中の $x$ に、丸ごと $\frac{x+1}{x-1}$ を代入し、繁分数を解消（分母分子に $x-1$ を掛ける）する。
$y = \frac{1}{x}$ のグラフを $x$ 軸方向に1、$y$ 軸方向に2平行移動したグラフの式を求めよ。,$y = \frac{1}{x-1} + 2$,1 関数,"基本形 $y = \frac{k}{x-p} + q$ の公式に当てはめる。漸近線の交点が $(0,0)$ から $(1,2)$ に移動すると考える。"
曲線 $y = \frac{x}{x-1}$ と直線 $y = x+k$ が共有点を持たないような定数 $k$ の範囲を求めよ。,$1 < k < 5$,1 関数,分母を払って $x = (x-1)(x+k)$ という2次方程式を作り、判別式 $D < 0$ となる条件を求める。
関数 $y = \sqrt{2x+4}$ の定義域を求めよ。,$x \geqq -2$,1 関数,**「ルートの中身 $\geqq 0$」**という条件から不等式を解く。
無理不等式 $\sqrt{x+2} < x$ を解け。,$x > 2$,1 関数,**「(左辺のグラフ) < (右辺のグラフ)」**となる範囲を考える。図を描くのが最も確実。
曲線 $y = \sqrt{x}$ と直線 $y = x+k$ が共有点を2個持つような定数 $k$ の範囲を求めよ。,$0 \leqq k < 1/4$,1 関数,**「接するとき」と「端点を通るとき」**の2つの境界を調べて、グラフで判断する。
関数 $y = \sqrt{x-1} + 2$ の値域を求めよ。,$y \geqq 2$,1 関数,"基本形 $y = \sqrt{x}$ の出発点 $(0,0)$ が、平行移動で $(1,2)$ に移ることを利用する。"
